Salary,Department,Position,Email
50000,1,4,0
65000,0,3,3
60000,4,3,0
50000,2,4,1
60216,0,4,1
65000,3,3,3
50000,3,2,2
50000,1,3,2
60000,3,4,3
60216,0,1,2
70000,3,0,2
70000,0,1,2
50000,2,1,2
55000,1,4,2
60216,3,3,2
65000,0,2,2
55000,4,1,2
55000,1,3,3
60216,2,2,0
50000,0,1,3
50000,2,2,0
50000,2,3,3
50000,3,0,0
70000,3,3,0
50000,0,4,1
70000,4,2,0
70000,0,0,0
50000,4,2,1
60000,2,2,2
65000,1,1,2
55000,0,4,1
70000,0,2,2
60216,4,3,0
60216,2,3,0
65000,2,1,1
60216,4,4,1
60000,2,4,2
60216,3,3,2
55000,1,0,3
55000,0,1,2
70000,1,1,0
50000,0,3,1
60000,3,3,2
70000,2,0,2
60000,4,0,2
50000,3,4,2
60216,1,1,0
60216,4,1,3
50000,2,3,2
70000,3,4,2
50000,4,1,3
65000,3,4,2
55000,3,4,2
70000,2,3,2
60000,0,4,2
65000,4,0,3
70000,2,0,0
50000,3,2,2
50000,2,3,0
50000,0,2,3
50000,4,0,3
60000,0,2,2
65000,1,3,2
60216,4,3,1
55000,0,4,3
60000,3,1,2
60000,4,4,0
60216,4,3,2
60216,2,0,0
55000,3,0,3
55000,1,4,3
60216,0,3,0
50000,2,0,3
60000,0,3,2
70000,1,0,3
55000,1,3,2
55000,4,2,2
60216,1,3,1
65000,0,3,3
70000,3,4,3
70000,3,2,2
55000,4,1,2
50000,0,4,0
65000,0,1,0
70000,1,0,0
55000,0,1,2
70000,2,3,0
65000,1,1,0
65000,2,4,1
60000,4,4,0
60216,3,1,3
60216,4,4,2
55000,3,4,2
65000,4,1,1
60000,0,2,2
60000,2,2,2
70000,3,0,3
70000,1,4,0
60000,2,1,3
70000,1,4,0
65000,2,3,0
50000,2,4,2
65000,4,4,0
60000,3,2,1
60000,3,1,1
65000,2,4,1
70000,0,2,2
70000,0,0,3
60216,1,2,2
60000,1,2,0
55000,4,2,2
60216,2,4,3
70000,1,4,3
65000,1,0,2
70000,2,3,1
65000,4,3,1
60216,1,3,3
60000,4,0,2
70000,3,3,2
65000,4,3,0
60000,0,2,1
55000,0,4,3
65000,4,4,2
60216,0,2,1
55000,3,2,0
55000,2,2,2
50000,0,4,3
70000,0,3,1
65000,4,2,2
55000,3,0,0
50000,2,2,0
60216,4,1,1
60000,4,2,2
65000,3,4,0
55000,2,2,3
70000,3,1,0
50000,2,0,2
55000,3,3,2
70000,4,2,2
55000,4,1,1
65000,1,1,2
65000,0,0,0
65000,3,4,0
60216,1,2,2
60216,0,1,2
50000,3,0,3
65000,2,3,2
70000,0,1,3
55000,4,0,0
60000,1,4,3
70000,0,4,3
60216,0,1,1
60216,4,1,2
70000,3,2,3
60216,2,0,0
65000,4,1,2
50000,2,2,3
55000,3,2,2
50000,0,1,1
55000,2,4,0
55000,1,0,1
50000,1,0,2
70000,4,4,3
55000,3,1,3
50000,4,0,2
55000,4,1,3
60000,4,1,0
70000,1,2,2
65000,1,4,1
55000,4,1,2
60000,1,3,3
65000,3,4,1
65000,4,0,2
55000,1,2,2
50000,2,0,1
55000,4,0,1
60000,4,4,1
65000,3,0,0
55000,0,1,2
50000,0,0,1
55000,3,2,2
70000,3,2,1
50000,3,3,2
60000,0,2,2
65000,3,0,2
55000,1,2,3
50000,4,4,1
70000,4,2,3
50000,2,1,2
60216,2,4,3
