unnamed,Make,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Vehicle Size,city mpg,Popularity,MSRP,Price
479,Toyota,regular unleaded,270,6,AUTOMATIC,rear wheel drive,Midsize,17,2031,41365,450000
480,Toyota,regular unleaded,270,6,AUTOMATIC,rear wheel drive,Midsize,17,2031,35740,450000
481,Toyota,regular unleaded,270,6,AUTOMATIC,four wheel drive,Midsize,17,2031,37615,450000
482,Toyota,regular unleaded,270,6,AUTOMATIC,four wheel drive,Midsize,17,2031,34695,450000
483,Toyota,regular unleaded,270,6,AUTOMATIC,four wheel drive,Midsize,17,2031,35725,450000
484,Toyota,regular unleaded,270,6,AUTOMATIC,four wheel drive,Midsize,17,2031,43400,450000
485,Toyota,regular unleaded,270,6,AUTOMATIC,rear wheel drive,Midsize,17,2031,32820,450000
486,Toyota,regular unleaded,270,6,AUTOMATIC,four wheel drive,Midsize,17,2031,38645,450000
487,Toyota,regular unleaded,270,6,AUTOMATIC,four wheel drive,Midsize,17,2031,37825,450000
488,Toyota,regular unleaded,270,6,AUTOMATIC,four wheel drive,Midsize,17,2031,43620,450000
489,Toyota,regular unleaded,270,6,AUTOMATIC,four wheel drive,Midsize,17,2031,36115,450000
490,Toyota,regular unleaded,270,6,AUTOMATIC,rear wheel drive,Midsize,17,2031,35950,450000
491,Toyota,regular unleaded,270,6,AUTOMATIC,rear wheel drive,Midsize,17,2031,33210,450000
492,Toyota,regular unleaded,270,6,AUTOMATIC,four wheel drive,Midsize,17,2031,38855,450000
493,Toyota,regular unleaded,270,6,AUTOMATIC,rear wheel drive,Midsize,17,2031,41585,450000
494,Toyota,regular unleaded,270,6,AUTOMATIC,four wheel drive,Midsize,17,2031,35085,450000
495,Toyota,regular unleaded,270,6,AUTOMATIC,four wheel drive,Midsize,17,2031,41310,450000
496,Toyota,regular unleaded,270,6,AUTOMATIC,rear wheel drive,Midsize,17,2031,36690,450000
497,Toyota,regular unleaded,270,6,AUTOMATIC,four wheel drive,Midsize,17,2031,44360,450000
498,Toyota,regular unleaded,270,6,AUTOMATIC,four wheel drive,Midsize,17,2031,39595,450000
499,Toyota,regular unleaded,270,6,AUTOMATIC,four wheel drive,Midsize,17,2031,41850,450000
500,Toyota,regular unleaded,270,6,AUTOMATIC,rear wheel drive,Midsize,17,2031,42325,450000
501,Toyota,regular unleaded,270,6,AUTOMATIC,four wheel drive,Midsize,17,2031,35885,450000
